abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4444444444444445,2560,70,485,75,Mouse Pokémon,0.19999999999999998,1000000,,60,Raichuライチュウ,Raichu,50.0,26,95,85,0.6,electric,electric,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.3888888888888889,5120,70,300,255,Mouse Pokémon,0.3777777777777778,1000000,,50,Sandサンド,Sandshrew,50.0,27,10,35,0.19999999999999998,ground,ice,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5277777777777778,5120,70,450,90,Mouse Pokémon,0.5111111111111111,1000000,,75,Sandpanサンドパン,Sandslash,50.0,28,25,65,0.34285714285714286,ground,ice,,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.23333333333333334,5120,70,275,235,Poison Pin Pokémon,0.20888888888888887,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0.0,29,40,40,0.2057142857142857,poison,,7.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.31666666666666665,5120,70,365,120,Poison Pin Pokémon,0.27555555555555555,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0.0,30,55,55,0.2914285714285714,poison,,20.0,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0.4833333333333334,5120,70,505,45,Drill Pokémon,0.36444444444444446,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0.0,31,75,85,0.4057142857142857,poison,ground,60.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.28888888888888886,5120,70,273,235,Poison Pin Pokémon,0.15555555555555556,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100.0,32,40,40,0.2571428571428571,poison,,9.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.37222222222222223,5120,70,365,120,Poison Pin Pokémon,0.23111111111111113,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100.0,33,55,55,0.34285714285714286,poison,,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0.5388888888888889,5120,70,505,45,Drill Pokémon,0.32,1059860,1.4,81,Nidokingニドキング,Nidoking,100.0,34,85,75,0.45714285714285713,poison,ground,62.0,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.2222222222222222,2560,140,323,150,Fairy Pokémon,0.1911111111111111,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,0.17142857142857143,fairy,,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3611111111111111,2560,140,483,25,Fairy Pokémon,0.3022222222222222,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,0.3142857142857143,fairy,,40.0,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.19999999999999998,5120,70,299,190,Fox Pokémon,0.15555555555555556,1000000,,38,Rokonロコン,Vulpix,24.6,37,50,65,0.34285714285714286,fire,ice,,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.34444444444444444,5120,70,505,75,Fox Pokémon,0.3111111111111111,1000000,,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,0.5942857142857143,fire,ice,,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.2222222222222222,2560,70,270,170,Balloon Pokémon,0.06666666666666667,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,0.08571428571428572,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3611111111111111,2560,70,435,50,Balloon Pokémon,0.17777777777777778,800000,1.0,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,0.22857142857142854,normal,fairy,12.0,1,0
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.2222222222222222,3840,70,245,255,Bat Pokémon,0.13333333333333333,1000000,0.8,40,Zubatズバット,Zubat,50.0,41,30,40,0.2857142857142857,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.4166666666666667,3840,70,455,90,Bat Pokémon,0.2888888888888889,1000000,1.6,75,Golbatゴルバット,Golbat,50.0,42,65,75,0.48571428571428565,poison,flying,55.0,1,0
"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.25,5120,70,320,255,Weed Pokémon,0.2222222222222222,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50.0,43,75,65,0.14285714285714285,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,5120,70,395,120,Weed Pokémon,0.2888888888888889,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50.0,44,85,75,0.19999999999999998,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.4166666666666667,5120,70,490,45,Flower Pokémon,0.35555555555555557,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50.0,45,110,90,0.2571428571428571,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.3611111111111111,5120,70,285,190,Mushroom Pokémon,0.2222222222222222,1000000,0.3,35,Parasパラス,Paras,50.0,46,45,55,0.11428571428571428,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,5120,70,405,75,Mushroom Pokémon,0.33333333333333337,1000000,1.0,60,Parasectパラセクト,Parasect,50.0,47,60,80,0.14285714285714285,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.2777777777777778,5120,70,305,190,Insect Pokémon,0.19999999999999998,1000000,1.0,60,Kongpangコンパン,Venonat,50.0,48,40,55,0.22857142857142854,bug,poison,30.0,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.3333333333333333,5120,70,450,75,Poison Moth Pokémon,0.24444444444444444,1000000,1.5,70,Morphonモルフォン,Venomoth,50.0,49,90,75,0.48571428571428565,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.2777777777777778,5120,70,265,255,Mole Pokémon,0.1111111111111111,1000000,,10,Digdaディグダ,Diglett,50.0,50,35,45,0.48571428571428565,ground,ground,,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5277777777777778,5120,70,425,50,Mole Pokémon,0.24444444444444444,1000000,,35,Dugtrioダグトリオ,Dugtrio,50.0,51,50,70,0.6,ground,ground,,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,5120,70,290,255,Scratch Cat Pokémon,0.13333333333333333,1000000,,40,Nyarthニャース,Meowth,50.0,52,50,40,0.48571428571428565,normal,dark,,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3055555555555556,5120,70,440,90,Classy Cat Pokémon,0.24444444444444444,1000000,,65,Persianペルシアン,Persian,50.0,53,75,65,0.6285714285714286,normal,dark,,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.2611111111111111,5120,70,320,190,Duck Pokémon,0.1911111111111111,1000000,0.8,50,Koduckコダック,Psyduck,50.0,54,65,50,0.2857142857142857,water,,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.42777777777777776,5120,70,500,75,Duck Pokémon,0.3244444444444445,1000000,1.7,80,Golduckゴルダック,Golduck,50.0,55,95,80,0.45714285714285713,water,,76.6,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.4166666666666667,5120,70,305,190,Pig Monkey Pokémon,0.13333333333333333,1000000,0.5,40,Mankeyマンキー,Mankey,50.0,56,35,45,0.37142857142857144,fighting,,28.0,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5555555555555556,5120,70,455,75,Pig Monkey Pokémon,0.24444444444444444,1000000,1.0,65,Okorizaruオコリザル,Primeape,50.0,57,60,70,0.5142857142857142,fighting,,32.0,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.3611111111111111,5120,70,350,190,Puppy Pokémon,0.17777777777777778,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,0.3142857142857143,fire,,19.0,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5833333333333334,5120,70,555,75,Legendary Pokémon,0.33333333333333337,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,0.5142857142857142,fire,,155.0,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.25,5120,70,300,255,Tadpole Pokémon,0.15555555555555556,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50.0,60,40,40,0.48571428571428565,water,,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,5120,70,385,120,Tadpole Pokémon,0.26666666666666666,1059860,1.0,65,Nyorozoニョロゾ,Poliwhirl,50.0,61,50,50,0.48571428571428565,water,,20.0,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,0.5,5120,70,510,45,Tadpole Pokémon,0.4,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50.0,62,70,90,0.37142857142857144,water,fighting,54.0,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.08333333333333334,5120,70,310,200,Psi Pokémon,0.04444444444444444,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,0.48571428571428565,psychic,,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.16666666666666666,5120,70,400,100,Psi Pokémon,0.1111111111111111,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,0.5714285714285714,psychic,,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,5120,70,600,50,Psi Pokémon,0.26666666666666666,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,0.8285714285714285,psychic,,48.0,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.4166666666666667,5120,70,305,180,Superpower Pokémon,0.19999999999999998,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,0.17142857142857143,fighting,,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5277777777777778,5120,70,405,90,Superpower Pokémon,0.2888888888888889,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,0.22857142857142854,fighting,,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.6944444444444444,5120,70,505,45,Superpower Pokémon,0.33333333333333337,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,0.2857142857142857,fighting,,130.0,1,0
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3888888888888889,5120,70,300,255,Flower Pokémon,0.13333333333333333,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50.0,69,70,30,0.19999999999999998,grass,poison,4.0,1,0
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.4722222222222222,5120,70,390,120,Flycatcher Pokémon,0.19999999999999998,1059860,1.0,65,Utsudonウツドン,Weepinbell,50.0,70,85,45,0.2857142857142857,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5555555555555556,5120,70,490,45,Flycatcher Pokémon,0.26666666666666666,1059860,1.7,80,Utsubotウツボット,Victreebel,50.0,71,100,70,0.37142857142857144,grass,poison,15.5,1,0
